ID,Label,Price,Vendor ID
8a4cc87b-bf8c-4d65-b2a0-a1fdcdc5c08c,Mia Baby Pink Lurex Jacquard Corset Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
006266dd-9dde-4dc0-8fc5-e70570d8f73b,Jane Baby Blue Satin Lounge Shorts Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
dd439649-dbc7-4e08-86fb-4e7125b659ac,Scarlet Red Satin Puff Sleeve Bustier Gown,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
8026be08-4ea1-4db6-afe6-ede77d136438,Lizette Glitter Cutout Midi Corset Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
c8c04fa3-4690-4dd0-8083-1e7f9b8275ff,Riley Mauve Rib Cardigan,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7705efe5-016b-4649-946f-9a295a82681a,Vanessa Rust Midaxi Bodycon Dress CL,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
16aa31e4-536c-470f-a269-c6210a7fa2bb,Christy Lavender Jogger,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
bd87a976-ba9a-4a7f-a701-25551b1d2afb,Brisa Camel Long Overcoat with Snap Button Detailing,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
503e138e-2a54-45e3-8bfc-eab15395cc4e,Paulette Crop Sweatshirt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
32eb9c12-72c5-451c-97c7-a438ca7ac8e0,Miriam Purple Satin Slip Mini Dress Lounge Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
